,breath_id,R,C,time_step,u_in,u_out,pressure
0,123949.0,-0.3333333333333333,0.75,0.0,-0.9095311272903857,-1.0,5.064168105105749
1,123949.0,-0.3333333333333333,0.75,0.0337343215942382,-0.2788001242368747,-1.0,5.204772396008185
2,123949.0,-0.3333333333333333,0.75,0.0677118301391601,-0.1672951974965485,-1.0,5.837491705069121
3,123949.0,-0.3333333333333333,0.75,0.1017041206359863,-0.0403230182993473,-1.0,5.485980977813056
4,123949.0,-0.3333333333333333,0.75,0.1356923580169677,0.0579332529761045,-1.0,5.9780959959715565
5,123949.0,-0.3333333333333333,0.75,0.1697494983673095,0.1524788042804789,-1.0,6.259304577776412
6,123949.0,-0.3333333333333333,0.75,0.203749418258667,0.2427391836124415,-1.0,6.399908868678847
7,123949.0,-0.3333333333333333,0.75,0.2375617027282714,0.3181514463262305,-1.0,6.8217217413861535
8,123949.0,-0.3333333333333333,0.75,0.2715399265289306,0.4092867686725073,-1.0,6.399908868678847
9,123949.0,-0.3333333333333333,0.75,0.3054726123809814,0.4628712691157802,-1.0,7.243534614093444
10,123949.0,-0.3333333333333333,0.75,0.3394145965576172,0.5321993413216239,-1.0,7.173232468642234
11,123949.0,-0.3333333333333333,0.75,0.373431921005249,0.597739868779098,-1.0,7.102930323191009
12,123949.0,-0.3333333333333333,0.75,0.407252550125122,0.6381499099815011,-1.0,7.805951777703171
13,123949.0,-0.3333333333333333,0.75,0.4412846565246582,0.6925725427025309,-1.0,7.735649632251961
14,123949.0,-0.3333333333333333,0.75,0.4754822254180908,0.7307759478290309,-1.0,8.157462504959266
15,123949.0,-0.3333333333333333,0.75,0.5094485282897949,0.7825389124433741,-1.0,7.876253923154396
16,123949.0,-0.3333333333333333,0.75,0.5434145927429199,0.8175873243537581,-1.0,8.157462504959266
17,123949.0,-0.3333333333333333,0.75,0.5773849487304688,0.8369343664408444,-1.0,8.860483959471429
18,123949.0,-0.3333333333333333,0.75,0.6113719940185547,0.8713282338378611,-1.0,8.790181814020203
19,123949.0,-0.3333333333333333,0.75,0.6454629898071289,0.8887288579736525,-1.0,9.28229683217872
20,123949.0,-0.3333333333333333,0.75,0.6793761253356934,0.9130060895871004,-1.0,9.35259897762993
21,123949.0,-0.3333333333333333,0.75,0.7134072780609131,0.9276445336659526,-1.0,9.704109704886026
22,123949.0,-0.3333333333333333,0.75,0.7472023963928223,0.9541425797050804,-1.0,9.493203268532364
23,123949.0,-0.3333333333333333,0.75,0.7812399864196777,0.9690309713748836,-1.0,9.704109704886026
24,123949.0,-0.3333333333333333,0.75,0.8152651786804199,0.9853441515424703,-1.0,9.774411850337236
25,123949.0,-0.3333333333333333,0.75,0.8492462635040283,0.9962673912208648,-1.0,9.98531828669088
26,123949.0,-0.3333333333333333,0.75,0.8833510875701904,1.0070018337331623,-1.0,10.125922577593316
27,123949.0,-0.3333333333333333,0.75,0.917383909225464,1.0006731088641312,-1.0,10.828944032105476
